destination,vol,people,long,lat,longdest,latdest,longoff,latoff
Mexico,1,10817810,-99.1,19.24,-99.1,19.24,0,0
USA,0.980888368,10611064,-99.1,19.24,-77,38.9,0,0
Russia,1,10302948,37.6,55.7,37.6,55.7,0,0
Ukraine,0.332207151,3422713,37.6,55.7,30.3,50.3,0,0
Kazakhstan,0.205997254,2122379,37.6,55.7,71.3,51.1,0,0
Germany,0.086317431,889324,37.6,55.7,13.3,52.3,0,15
Uzbekistan,0.095183825,980674,37.6,55.7,69.2,41.2,0,0
Belarus,0.067766235,698192,37.6,55.7,27.5,53.9,0,0
USA,0.036033764,371254,37.6,55.7,-77,38.9,0,0
Tajikistan,0.023168029,238699,37.6,55.7,68.48,38.33,0,0
Estonia,0.016749672,172571,37.6,55.7,24.48,59.22,0,0
Latvia,0.01958158,201748,37.6,55.7,24.08,56.53,0,0
Israel,0.013183314,135827,37.6,55.7,35.12,31.47,-28,0
Kyrgyzstan,0.016594183,170969,37.6,55.7,74.46,42.54,0,0
India,1,9588533,77.2,28.6,77.2,28.6,0,0
United Arab Emirates,0.134222096,1286993,77.2,28.6,54.2,24.3,-30,8
USA,0.14502792,1390605,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.126875404,1216549,77.2,28.6,46.4,24.4,-40,0
Pakistan,0.208458791,1998814,77.2,28.6,73.1,33.4,0,0
Oman,0.038943496,373411,77.2,28.6,58.4,23.4,0,0
Kuwait,0.050677304,485921,77.2,28.6,48,39.3,0,0
United Kingdom,0.057165158,548130,77.2,28.6,-0.1,51.4,-40,0
Canada,0.044308655,424855,77.2,28.6,-75.4,45.3,0,10
Qatar,0.020170343,193404,77.2,28.6,51.4,25.2,0,0
Australia,0.015532616,148935,77.2,28.6,149.1,-35.3,0,0
Nepal,0.053673487,514650,77.2,28.6,85.2,27.5,0,0
Bahrain,0.016382172,157081,77.2,28.6,50.3,26.1,0,-20
Malaysia,0.011065092,106098,77.2,28.6,101.4,3.1,0,0
China,1,7337211,116.4,39.9,116.4,39.9,0,0
USA,0.219109686,1607654,116.4,39.9,-77,38.9,0,0
South Korea,0.033148427,243217,116.4,39.9,126.6,37.3,0,0
Japan,0.088333292,648120,116.4,39.9,139.7,35.7,0,0
Canada,0.069371591,508994,116.4,39.9,-75.4,45.3,0,10
Australia,0.031014646,227561,116.4,39.9,149.1,-35.3,0,0
Singapore,0.040839905,299651,116.4,39.9,103.8,1.3,0,0
Italy,0.018758218,137633,116.4,39.9,12.3,41.5,0,0
United Kingdom,0.020034043,146994,116.4,39.9,-0.1,51.4,-40,0
Bangladesh,0.019817476,145405,116.4,39.9,90.3,23.4,0,0
Ukraine,1,5566382,30.3,50.3,30.3,50.3,0,0
Russia,0.591754033,3293929,30.3,50.3,37.6,55.7,0,0
USA,0.053673284,298766,30.3,50.3,-77,38.9,0,0
Kazakhstan,0.05084775,283038,30.3,50.3,74.46,42.54,0,0
Germany,0.033433386,186103,30.3,50.3,13.3,52.3,0,0
Poland,0.0473329,263473,30.3,50.3,21,52.1,0,0
Italy,0.021190964,117957,30.3,50.3,12.3,41.5,0,0
Belarus,0.041493918,230971,30.3,50.3,27.5,53.9,0,0
Israel,0.026363444,146749,30.3,50.3,35.1,31.5,-28,0
Uzbekistan,0.02388679,132963,30.3,50.3,69.2,41.2,0,0
