destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Mexico,9410529,5104175,4306354,-77,38.9,-99.1,19.24,0,0
India,Bangladesh,3879114,2036336,1842778,77.2,28.6,90.26,23.43,0,0
Ukraine,Russia,3745842,1531998,2213844,30.5,50.4,37.6,55.7,0,0
Russia,Ukraine,3541839,1708694,1833145,37.6,55.7,30.5,50.4,0,0
Russia,Kazakhstan,2571681,1222091,1349590,37.6,55.7,71.4,51.1,0,0
Iran,Afghanistan,2232283,1232291,999992,51.3,35.4,69.1,34.3,0,0
Pakistan,India,2101039,1137266,963773,73.1,33.4,77.2,28.6,0,0
Pakistan,Afghanistan,2069977,1106710,963267,73.1,33.4,69.1,34.3,0,0
Kazakhstan,Russia,2032883,919047,1113836,71.4,51.1,37.6,55.7,0,0
Germany,Turkey,1604965,879946,725019,13.3,52.3,32.54,39.57,0,0
USA,Puerto Rico,1576432,677124,899308,-77,38.9,-66.1,18.3,0,0
Jordan,State of Palestine,1428251,676212,752039,35.52,31.57,35.2,32.03,0,0
USA,Philippines,1403834,548206,855628,-77,38.9,121,14.4,0,0
India,Pakistan,1353231,702733,650498,77.2,28.6,73.1,33.4,0,0
USA,China,1348465,664923,683542,-77,38.9,116.4,39.9,0,0
C?te d'Ivoire,Burkina Faso,1161053,649666,511387,-5.2,6.5,-1.55,12.2,0,0
Australia,United Kingdom,1128510,569426,559084,149.1,-35.3,-0.1,51.4,0,0
Uzbekistan,Russia,1067247,454169,613078,69.2,41.2,37.6,55.7,0,0
USA,India,1048517,560016,488501,-77,38.9,77.2,28.6,0,0
USA,Viet Nam,1013266,524898,488368,-77,38.9,105.6,21.1,0,0
Saudi Arabia,India,978992,664047,314945,46.6,24.7,77.2,28.6,0,0
Russia,Belarus,930977,421140,509837,37.6,55.7,27.5,53.9,0,0
United Arab Emirates,India,915878,685691,230187,54.3,24.4,77.2,28.6,-30,8
Russia,Uzbekistan,913322,463099,450223,37.6,55.7,69.2,41.2,0,0
Germany,Russia,903777,360818,542959,13.3,52.3,37.6,55.7,0,0
USA,Cuba,894876,429838,465038,-77,38.9,-82.2,23.1,0,0
USA,South Korea,886067,436917,449150,-77,38.9,126.6,37.3,0,0
Russia,Azerbaijan,841759,486490,355269,37.6,55.7,49.52,40.24,0,0
USA,Canada,841612,282210,559402,-77,38.9,-75.6,45.4,0,0
France,Algeria,839920,463414,376506,2.2,48.5,3.1,36.4,0,0
USA,El Salvador,838090,429782,408308,-77,38.9,-89.1,13.4,0,0
France,Portugal,831900,418544,413356,2.2,48.5,-9.1,38.4,0,0
France,Morocco,760148,406784,353364,2.2,48.5,-6.5,34,0,0
Thailand,Myanmar,734129,394930,339199,100.3,13.45,96.2,16.45,0,0
Malaysia,Indonesia,726961,423850,303111,101.41,3.09,106.5,-6.1,0,0
USA,Germany,724649,357323,367326,-77,38.9,13.3,52.3,0,0
Singapore,Malaysia,710434,290654,419780,103.8,1.3,101.41,3.09,0,0
Belarus,Russia,708011,316633,391378,27.5,53.9,37.6,55.7,0,0
USA,Dominican Republic,705139,308374,396765,-77,38.9,-61.24,15.2,0,0
USA,United Kingdom,694961,342683,352278,-77,38.9,-0.1,51.4,0,0
Germany,Poland,670656,283305,387351,13.3,52.3,21,52.1,0,0
Saudi Arabia,Indonesia,668666,446901,221765,46.6,24.7,106.5,-6.1,0,0
India,Nepal,664187,308912,355275,77.2,28.6,85.2,27.45,0,0
Japan,South Korea,635194,311245,323949,139.7,35.7,126.6,37.3,0,0
Tanzania,Burundi,628609,319969,308640,35.45,-6.08,29.18,-3.16,0,0
Russia,Georgia,625743,341259,284484,37.6,55.7,44.5,41.43,0,0
Venezuela,Colombia,617257,294429,322828,-66.6,6.4,-74.3,4.6,0,0
Canada,United Kingdom,608742,293662,315080,-75.6,45.4,-0.1,51.4,0,0
Germany,Serbia,597290,318273,279017,13.3,52.3,20.45,44.78,0,0
Saudi Arabia,Pakistan,586225,405412,180813,46.6,24.7,73.1,33.4,0,0
USA,Jamaica,567890,250525,317365,-77,38.9,-76.5,18,0,0
France,Italy,555528,266519,289009,2.2,48.5,12.3,41.5,0,0
Nepal,India,543594,152241,391353,85.2,27.45,77.2,28.6,0,0
USA,Colombia,522819,235026,287793,-77,38.9,-74.3,4.6,0,0
United Kingdom,Ireland,515544,226188,289356,-0.1,51.4,-6.15,53.21,0,0
Saudi Arabia,Bangladesh,504790,377555,127235,46.6,24.7,90.26,23.43,0,0
