destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Mexico,12168662,6554739,5613923,-77,38.9,-99.1,19.24,0,0
Ukraine,Russia,3265811,1341012,1924799,30.5,50.4,37.6,55.7,0,0
Russia,Ukraine,2978217,1376105,1602112,37.6,55.7,30.5,50.4,0,0
United Arab Emirates,India,2913858,2264033,649825,54.3,24.4,77.2,28.6,0,0
India,Bangladesh,2855334,1474495,1380839,77.2,28.6,90.26,23.43,0,0
Iran,Afghanistan,2572558,1411729,1160829,51.3,35.4,69.1,34.3,0,0
Russia,Kazakhstan,2512343,1162664,1349679,37.6,55.7,71.4,51.1,0,0
Kazakhstan,Russia,2211875,1057208,1154667,71.4,51.1,37.6,55.7,0,0
Pakistan,Afghanistan,1990641,1017008,973633,73.1,33.4,69.1,34.3,0,0
Jordan,State of Palestine,1983733,943263,1040470,35.52,31.57,35.2,32.03,0,0
Pakistan,India,1943345,1053199,890146,73.1,33.4,77.2,28.6,0,0
USA,China,1922950,940249,982701,-77,38.9,116.4,39.9,0,0
USA,Philippines,1843117,710587,1132530,-77,38.9,121,14.4,0,0
USA,India,1784284,946212,838072,-77,38.9,77.2,28.6,0,0
USA,Puerto Rico,1710665,726821,983844,-77,38.9,-66.1,18.3,0,0
Thailand,Myanmar,1658622,895752,762870,100.3,13.45,96.2,16.45,0,0
Saudi Arabia,India,1579235,1120873,458362,46.6,24.7,77.2,28.6,0,0
Germany,Poland,1528510,720940,807570,13.3,52.3,21,52.1,0,0
France,Algeria,1343555,727715,615840,2.2,48.5,3.1,36.4,0,0
Germany,Turkey,1314223,690176,624047,13.3,52.3,32.54,39.57,0,0
C?te d'Ivoire,Burkina Faso,1269928,710363,559565,-5.2,6.5,-1.55,12.2,0,0
USA,Viet Nam,1236000,635422,600578,-77,38.9,105.6,21.1,0,0
USA,El Salvador,1192423,606751,585672,-77,38.9,-89.1,13.4,0,0
Australia,United Kingdom,1185070,602853,582217,149.1,-35.3,-0.1,51.4,0,0
USA,South Korea,1127266,551192,576074,-77,38.9,126.6,37.3,0,0
Russia,Uzbekistan,1125335,591087,534248,37.6,55.7,69.2,41.2,0,0
Syria,Iraq,1110642,566430,544212,36.18,33.3,44.3,33.2,0,0
Saudi Arabia,Indonesia,1070951,753771,317180,46.6,24.7,106.5,-6.1,0,0
USA,Cuba,1055229,502388,552841,-77,38.9,-82.2,23.1,0,0
Italy,Romania,1016949,433624,583325,12.3,41.5,26.1,44.3,0,0
Singapore,Malaysia,971827,421024,550803,103.8,1.3,101.41,3.09,0,0
Malaysia,Indonesia,960819,594408,366411,101.41,3.09,106.5,-6.1,0,0
India,Pakistan,956166,497972,458194,77.2,28.6,73.1,33.4,0,0
Saudi Arabia,Pakistan,938913,680304,258609,46.6,24.7,73.1,33.4,0,0
Venezuela,Colombia,929944,447146,482798,-66.6,6.4,-74.3,4.6,0,0
United Arab Emirates,Bangladesh,919365,803842,115523,54.3,24.4,90.26,23.43,0,0
Uzbekistan,Russia,913652,412203,501449,69.2,41.2,37.6,55.7,0,0
