destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
France,Morocco,870001,456489,413512,2.2,48.5,-6.5,34,0,0
USA,Canada,868967,286673,582294,-77,38.9,-75.6,45.4,0,0
Germany,Russia,857226,392878,464348,13.3,52.3,37.6,55.7,0,0
USA,Dominican Republic,843720,365108,478612,-77,38.9,-61.24,15.2,0,0
India,Nepal,841906,296878,545028,77.2,28.6,85.2,27.45,0,0
United Arab Emirates,Pakistan,836310,657517,178793,54.3,24.4,73.1,33.4,0,0
Thailand,Lao People's Democratic Republic,829426,365662,463764,100.3,13.45,102.36,17.58,0,0
USA,Guatemala,817495,412680,404815,-77,38.9,-90.22,14.4,0,0
Germany,Kazakhstan,812460,401419,411041,13.3,52.3,71.4,51.1,0,0
Saudi Arabia,Bangladesh,808485,626506,181979,46.6,24.7,90.26,23.43,0,0
Spain,Morocco,763734,466079,297655,-3.45,40.25,-6.5,34,0,0
United Arab Emirates,Egypt,755158,514424,240734,54.3,24.4,31.14,30.01,0,0
Russia,Azerbaijan,752975,418800,334175,37.6,55.7,49.52,40.24,0,0
Russia,Belarus,749972,323523,426449,37.6,55.7,27.5,53.9,0,0
Mexico,USA,742050,376791,365259,-99.1,19.24,-77,38.9,0,0
Spain,Romania,727521,384181,343340,-3.45,40.25,26.1,44.3,0,0
USA,United Kingdom,720428,352262,368166,-77,38.9,-0.1,51.4,0,0
Belarus,Russia,688372,307680,380692,27.5,53.9,37.6,55.7,0,0
Japan,China,687156,311580,375576,139.7,35.7,116.4,39.9,0,0
United Kingdom,India,684136,352918,331218,-0.1,51.4,77.2,28.6,0,0
Kuwait,India,675347,500247,175100,48,29.3,77.2,28.6,0,0
USA,Jamaica,675237,294805,380432,-77,38.9,-76.5,18,0,0
France,Portugal,669693,338063,331630,2.2,48.5,-9.1,38.4,0,0
USA,Germany,660214,322822,337392,-77,38.9,13.3,52.3,0,0
USA,Colombia,658465,293048,365417,-77,38.9,-74,4.34,0,0
Canada,China,611990,280194,331796,-75.6,45.4,116.4,39.9,0,0
Thailand,Cambodia,611508,285936,325572,100.3,13.45,104.55,11.33,0,0
Saudi Arabia,Egypt,603000,424412,178588,46.6,24.7,31.14,30.01,0,0
Argentina,Paraguay,588452,262021,326431,-60,-36.3,-57.3,-25.1,0,0
Russia,Kyrgyzstan,580279,283353,296926,37.6,55.7,74.46,42.54,0,0
USA,Haiti,570290,284120,286170,-77,38.9,-72.2,18.4,0,0
Japan,South Korea,565989,264657,301332,139.7,35.7,126.6,37.3,0,0
Qatar,India,540914,460980,79934,51.35,25.15,77.2,28.6,0,0
United Kingdom,Poland,537859,272733,265126,-0.1,51.4,21,52.1,0,0
Canada,United Kingdom,537040,259189,277851,-75.6,45.4,-0.1,51.4,0,0
Canada,India,517890,259701,258189,-75.6,45.4,77.2,28.6,0,0
Australia,New Zealand,517780,266553,251227,149.1,-35.3,174.5,-41.2,0,0
Russia,Armenia,517417,291468,225949,37.6,55.7,44.3,40.1,0,0
Burkina Faso,C?te d'Ivoire,517165,252411,264754,-1.55,12.2,-5.2,6.5,0,0
Saudi Arabia,Syria,515803,317211,198592,46.6,24.7,36.18,33.3,0,0
Lebanon,State of Palestine,512795,250827,261968,35.31,33.53,35.2,32.03,0,0
South Africa,Mozambique,505820,358331,147489,18.42,-33.9,32.32,-25.58,0,0
