destination,vol,people,long,lat,longdest,latdest,longoff,latoff
India,1,13221963,77.2,28.6,77.2,28.6,0,0
United Arab Emirates,0.220380136,2913858,77.2,28.6,54.2,24.3,-30,8
USA,0.134948494,1784284,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.119440283,1579235,77.2,28.6,46.4,24.4,-40,0
Pakistan,0.146978554,1943345,77.2,28.6,73.1,33.4,0,0
Oman,0.035789391,473206,77.2,28.6,58.4,23.4,0,0
Kuwait,0.051077665,675347,77.2,28.6,48,39.3,0,0
United Kingdom,0.051742393,684136,77.2,28.6,-0.1,51.4,-40,0
Canada,0.039168919,517890,77.2,28.6,-75.4,45.3,0,0
Qatar,0.040910264,540914,77.2,28.6,51.4,25.2,0,0
Australia,0.024921413,329510,77.2,28.6,149.1,-35.3,0,0
Nepal,0.034880297,461186,77.2,28.6,85.2,27.5,0,0
Bahrain,0.019657822,259915,77.2,28.6,50.3,26.1,0,-20
Italy,0.009756418,128999,77.2,28.6,12.3,41.5,0,0
Malaysia,0.009007513,119097,77.2,28.6,101.4,3.1,0,0
Singapore,0.009405336,124357,77.2,28.6,103.8,1.3,0,0
Mexico,1,12415222,-99.1,19.24,-99.1,19.24,0,0
USA,0.980140508,12168662,-99.1,19.24,-77,38.9,0,0
Russia,1,10118680,37.6,55.7,37.6,55.7,0,0
Ukraine,0.322750695,3265811,37.6,55.7,30.3,50.3,0,0
Kazakhstan,0.218593235,2211875,37.6,55.7,74.46,42.54,0,0
Germany,0.084717177,857226,37.6,55.7,13.3,52.3,0,0
Uzbekistan,0.090293596,913652,37.6,55.7,69.2,41.2,0,0
Belarus,0.068029822,688372,37.6,55.7,27.5,53.9,0,0
USA,0.040092087,405679,37.6,55.7,-77,38.9,0,0
Tajikistan,0.023534888,238142,37.6,55.7,68.48,38.33,0,0
Estonia,0.015290631,154721,37.6,55.7,24.48,59.22,0,0
Latvia,0.01616871,163606,37.6,55.7,24.08,56.53,0,0
Israel,0.010984437,111148,37.6,55.7,35.12,31.47,-28,0
Kyrgyzstan,0.012540865,126897,37.6,55.7,74.46,42.54,0,0
China,1,8714648,116.4,39.9,116.4,39.9,0,0
USA,0.22065722,1922950,116.4,39.9,-77,38.9,0,0
Japan,0.078850689,687156,116.4,39.9,139.7,35.7,0,0
Canada,0.070225441,611990,116.4,39.9,-75.4,45.3,0,0
Australia,0.042635113,371550,116.4,39.9,149.1,-35.3,0,0
Singapore,0.04197496,365797,116.4,39.9,103.8,1.3,0,0
Italy,0.022339055,194677,116.4,39.9,12.3,41.5,0,0
United Kingdom,0.017808637,155196,116.4,39.9,-0.1,51.4,-40,0
Spain,0.017776736,154918,116.4,39.9,-3.5,40.3,0,0
Bangladesh,0.018388809,160252,116.4,39.9,90.3,23.4,0,0
France,0.011857966,103338,116.4,39.9,2.2,48.5,0,0
India,0.011475277,100003,116.4,39.9,77.2,28.6,0,0
Bangladesh,1,6319871,90.3,23.4,90.3,23.4,0,0
India,0.451802576,2855334,90.3,23.4,77.2,28.6,0,0
United Arab Emirates,0.145472115,919365,90.3,23.4,54.2,24.3,-30,8
Saudi Arabia,0.127927453,808485,90.3,23.4,46.4,24.4,-40,0
Malaysia,0.055605882,351422,90.3,23.4,101.4,3.1,0,0
Kuwait,0.040834852,258071,90.3,23.4,48,39.3,0,0
United Kingdom,0.033162228,209581,90.3,23.4,-0.1,51.4,-40,0
Qatar,0.026799598,169370,90.3,23.4,51.4,25.2,0,0
USA,0.025242129,159527,90.3,23.4,-77,38.9,0,0
Oman,0.017225193,108861,90.3,23.4,58.4,23.4,0,0
