destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Mexico,10853105,5796774,5056331,-77,38.9,-99.1,19.24,0,0
Turkey,Syria,3792505,2301270,1491235,32.54,39.57,36.18,33.3,0,0
United Arab Emirates,India,3471300,2666029,805271,54.3,24.4,77.2,28.6,0,0
Ukraine,Russia,3330586,1369721,1960865,30.5,50.4,37.6,55.7,0,0
Russia,Ukraine,3268263,1517969,1750294,37.6,55.7,30.5,50.4,0,0
USA,India,2723764,1431847,1291917,-77,38.9,77.2,28.6,0,0
Iran,Afghanistan,2710601,1471475,1239126,51.3,35.4,69.1,34.3,0,0
Russia,Kazakhstan,2558907,1177323,1381584,37.6,55.7,71.4,51.1,0,0
Saudi Arabia,India,2502337,1741093,761244,46.6,24.7,77.2,28.6,0,0
India,Bangladesh,2488471,1241322,1247149,77.2,28.6,90.26,23.43,0,0
Kazakhstan,Russia,2476018,1204657,1271361,71.4,51.1,37.6,55.7,0,0
Jordan,State of Palestine,2272411,1144177,1128234,35.52,31.57,35.2,32.03,0,0
USA,China,2184110,1056972,1127138,-77,38.9,116.4,39.9,0,0
Germany,Poland,2141722,1056264,1085458,13.3,52.3,21,52.1,0,0
USA,Philippines,2061178,782161,1279017,-77,38.9,121,14.4,0,0
Thailand,Myanmar,1848270,994684,853586,100.3,13.45,96.2,16.45,0,0
Germany,Turkey,1837282,935796,901486,13.3,52.3,32.54,39.57,0,0
USA,Puerto Rico,1829251,894566,934685,-77,38.9,-66.1,18.3,0,0
Colombia,Venezuela,1780486,883775,896711,-74.3,4.6,-66.6,6.4,0,0
Saudi Arabia,Indonesia,1709318,1173243,536075,46.6,24.7,106.5,-6.1,0,0
France,Algeria,1637211,867851,769360,2.2,48.5,3.1,36.4,0,0
Pakistan,Afghanistan,1598223,805362,792861,73.1,33.4,69.1,34.3,0,0
Pakistan,India,1597134,962407,634727,73.1,33.4,77.2,28.6,0,0
Saudi Arabia,Pakistan,1483737,1046329,437408,46.6,24.7,73.1,33.4,0,0
USA,El Salvador,1410659,710992,699667,-77,38.9,-89.1,13.4,0,0
USA,Viet Nam,1403193,686215,716978,-77,38.9,105.6,21.1,0,0
C?te d'Ivoire,Burkina Faso,1376350,769878,606472,-5.2,6.5,-1.55,12.2,0,0
USA,Cuba,1376211,648113,728098,-77,38.9,-82.2,23.1,0,0
Oman,India,1375667,1204672,170995,58.36,23.37,77.2,28.6,0,0
Australia,United Kingdom,1285149,659401,625748,149.1,-35.3,-0.1,51.4,0,0
Saudi Arabia,Bangladesh,1277624,965089,312535,46.6,24.7,90.26,23.43,0,0
Malaysia,Indonesia,1241634,788858,452776,101.41,3.09,106.5,-6.1,0,0
USA,Guatemala,1226849,609443,617406,-77,38.9,-90.22,14.4,0,0
Germany,Russia,1198831,483306,715525,13.3,52.3,37.6,55.7,0,0
USA,Dominican Republic,1167738,494545,673193,-77,38.9,-61.24,15.2,0,0
Kuwait,India,1152175,812171,340004,48,29.3,77.2,28.6,0,0
Russia,Uzbekistan,1146175,599311,546864,37.6,55.7,69.2,41.2,0,0
Singapore,Malaysia,1132924,489469,643455,103.8,1.3,101.41,3.09,0,0
Germany,Kazakhstan,1128201,522201,606000,13.3,52.3,71.4,51.1,0,0
United Arab Emirates,Bangladesh,1095231,952077,143154,54.3,24.4,90.26,23.43,0,0
France,Morocco,1059918,543498,516420,2.2,48.5,-6.5,34,0,0
Italy,Romania,1048862,419319,629543,12.3,41.5,26.1,44.3,0,0
Lebanon,Syria,1042785,512527,530258,35.31,33.53,36.18,33.3,0,0
USA,South Korea,1038778,502699,536079,-77,38.9,126.6,37.3,0,0
Uganda,South Sudan,1022433,496575,525858,32.3,0.2,31.18,6.52,0,0
United Arab Emirates,Pakistan,996288,774730,221558,54.3,24.4,73.1,33.4,0,0
Saudi Arabia,Egypt,962432,660595,301837,46.6,24.7,31.14,30.01,0,0
Peru,Venezuela,941889,475119,466770,-77,-12,-66.6,6.4,0,0
Thailand,Lao People's Democratic Republic,941309,413070,528239,100.3,13.45,102.36,17.58,0,0
Venezuela,Colombia,917753,435251,482502,-66.6,6.4,-74.3,4.6,0,0
Bangladesh,Myanmar,907426,724552,182874,90.26,23.43,96.2,16.45,0,0
United Arab Emirates,Egypt,899612,601297,298315,54.3,24.4,31.14,30.01,0,0
Uzbekistan,Russia,871047,401787,469260,69.2,41.2,37.6,55.7,0,0
Sudan,South Sudan,867593,428488,439105,32.35,15.31,31.18,6.52,0,0
United Kingdom,Poland,835975,395282,440693,-0.1,51.4,21,52.1,0,0
United Kingdom,India,835359,420139,415220,-0.1,51.4,77.2,28.6,0,0
India,Pakistan,833314,419482,413832,77.2,28.6,73.1,33.4,0,0
Saudi Arabia,Syria,823261,485033,338228,46.6,24.7,36.18,33.3,0,0
USA,Colombia,817604,359410,458194,-77,38.9,-74.3,4.6,0,0
South Korea,China,803011,376444,426567,126.9,37.5,116.4,39.9,0,0
Mexico,USA,799248,404288,394960,-99.1,19.24,-77,38.9,0,0
