destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Canada,793897,256674,537223,-77,38.9,-75.6,45.4,0,0
USA,Jamaica,792370,341554,450816,-77,38.9,-76.5,18,0,0
Spain,Morocco,785884,430708,355176,-3.45,40.25,-6.5,34,0,0
Japan,China,775893,366794,409099,139.7,35.7,116.4,39.9,0,0
USA,Honduras,773045,324025,449020,-77,38.9,-87.14,14.05,0,0
Saudi Arabia,Yemen,769945,514474,255471,46.6,24.7,44.2,15.4,0,0
Russia,Azerbaijan,766918,424851,342067,37.6,55.7,49.52,40.24,0,0
Russia,Belarus,763879,327312,436567,37.6,55.7,27.5,53.9,0,0
India,Nepal,733734,241475,492259,77.2,28.6,85.2,27.45,0,0
Canada,India,720083,359654,360429,-75.6,45.4,77.2,28.6,0,0
Germany,Syria,707457,439155,268302,13.3,52.3,36.18,33.3,0,0
USA,Haiti,705361,345656,359705,-77,38.9,-72.2,18.4,0,0
Qatar,India,702013,604194,97819,51.35,25.15,77.2,28.6,0,0
Canada,China,699190,312899,386291,-75.6,45.4,116.4,39.9,0,0
Jordan,Syria,698701,353095,345606,35.52,31.57,36.18,33.3,0,0
Germany,Italy,694514,417027,277487,13.3,52.3,12.3,41.5,0,0
Thailand,Cambodia,691776,321877,369899,100.3,13.45,104.55,11.33,0,0
South Africa,Zimbabwe,690243,379965,310278,18.4,-33.9,31,-17.4,0,0
Argentina,Paraguay,685714,307457,378257,-60,-36.3,-57.3,-25.1,0,0
USA,United Kingdom,673667,329401,344266,-77,38.9,-0.1,51.4,0,0
Belarus,Russia,672481,300709,371772,27.5,53.9,37.6,55.7,0,0
Turkey,Bulgaria,661438,204551,456887,32.54,39.57,23.2,42.45,0,0
Germany,Romania,654822,335906,318916,13.3,52.3,26.1,44.3,0,0
Australia,China,653232,292955,360277,149.1,-35.3,116.4,39.9,0,0
Saudi Arabia,Philippines,644828,350381,294447,46.6,24.7,121,14.4,0,0
France,Portugal,639888,324925,314963,2.2,48.5,-9.1,38.4,0,0
Canada,Philippines,633547,265931,367616,-75.6,45.4,121,14.4,0,0
Spain,Romania,613336,300285,313051,-3.45,40.25,26.1,44.3,0,0
Australia,New Zealand*,611266,313603,297663,149.1,-35.3,174.5,-41.2,0,0
Germany,Czechia,603049,253085,349964,13.3,52.3,14.22,50.05,0,0
Syria,State of Palestine,596357,295220,301137,36.18,33.3,35.2,32.03,0,0
Russia,Kyrgyzstan,591025,287089,303936,37.6,55.7,74.46,42.54,0,0
Malaysia,Nepal,585864,346462,239402,101.41,3.09,85.2,27.45,0,0
Australia,India,579264,317525,261739,149.1,-35.3,77.2,28.6,0,0
United Arab Emirates,Philippines,564769,424868,139901,54.3,24.4,121,14.4,0,0
Burkina Faso,C?te d'Ivoire,562117,274211,287906,-1.55,12.2,-5.2,6.5,0,0
Canada,United Kingdom,537504,261806,275698,-75.6,45.4,-0.1,51.4,0,0
United Kingdom,Pakistan,537047,282645,254402,-0.1,51.4,73.1,33.4,0,0
USA,Germany,534203,258532,275671,-77,38.9,13.3,52.3,0,0
Saudi Arabia,Sri Lanka,529336,362050,167286,46.6,24.7,79.5,6.55,0,0
Russia,Armenia,526997,295713,231284,37.6,55.7,44.3,40.1,0,0
Chile,Venezuela,523553,261477,262076,70.4,-33.24,-66.6,6.4,0,0
C?te d'Ivoire,Mali,522146,289249,232897,-5.2,6.5,-7.55,12.34,0,0
USA,Brazil,517519,197162,320357,-77,38.9,-47.5,-15.4,0,0
USA,Venezuela,505647,196082,309565,-77,38.9,-66.6,6.4,0,0
Saudi Arabia,Nepal,503404,392892,110512,46.6,24.7,85.2,27.45,0,0
