destination,vol,people,long,lat,longdest,latdest,longoff,latoff
Russia,1,10664764,37.6,55.7,37.6,55.7,0,0
Ukraine,0.351235339,3745842,37.6,55.7,30.3,50.3,0,0
Kazakhstan,0.190616783,2032883,37.6,55.7,71.4,51.1,0,0
Uzbekistan,0.100072257,1067247,37.6,55.7,69.2,41.2,0,0
Germany,0.08474421,903777,37.6,55.7,13.3,52.3,0,15
Belarus,0.066387873,708011,37.6,55.7,27.5,53.9,0,0
USA,0.03270724,348815,37.6,55.7,-77,38.9,0,0
Tajikistan,0.023638498,252099,37.6,55.7,68.48,38.33,0,0
Latvia,0.02201202,234753,37.6,55.7,24.08,56.53,0,0
Kyrgyzstan,0.019915209,212391,37.6,55.7,74.46,42.54,0,0
Estonia,0.017719098,188970,37.6,55.7,24.48,59.22,0,0
Israel,0.01520465,162154,37.6,55.7,35.12,31.47,-28,0
Mexico,1,9562878,-99.1,19.24,-99.1,19.24,0,0
USA,0.984068708,9410529,-99.1,19.24,-77,38.9,0,0
India,1,7928051,77.2,28.6,77.2,28.6,0,0
Pakistan,0.265013305,2101039,77.2,28.6,73.1,33.4,0,0
USA,0.132254068,1048517,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.123484574,978992,77.2,28.6,46.4,24.4,0,0
United Arab Emirates,0.115523727,915878,77.2,28.6,54.2,24.3,-30,8
Nepal,0.068565906,543594,77.2,28.6,85.2,27.5,0,0
United Kingdom,0.057030915,452144,77.2,28.6,-0.1,51.4,-40,0
Kuwait,0.052807935,418664,77.2,28.6,48,39.3,0,0
Oman,0.042113881,333881,77.2,28.6,58.4,23.4,0,0
Canada,0.040254282,319138,77.2,28.6,-75.4,45.3,0,10
China,1,5884919,116.4,39.9,116.4,39.9,0,0
USA,0.229139093,1348465,116.4,39.9,-77,38.9,0,0
Canada,0.070036988,412162,116.4,39.9,-75.4,45.3,0,10
Japan,0.057027123,335600,116.4,39.9,139.7,35.7,0,0
Singapore,0.042515114,250198,116.4,39.9,103.8,1.3,0,0
Australia,0.024586575,144690,116.4,39.9,149.1,-35.3,0,0
United Kingdom,0.02448173,144073,116.4,39.9,-0.1,51.4,-40,0
Bangladesh,0.020848375,122691,116.4,39.9,90.3,23.4,0,0
Ukraine,1,5596518,30.3,50.3,30.3,50.3,0,0
Russia,0.632864756,3541839,30.3,50.3,37.6,55.7,0,0
Poland,0.057359415,321013,30.3,50.3,21,52.1,0,0
USA,0.050413311,282139,30.3,50.3,-77,38.9,0,0
Kazakhstan,0.044362048,248273,30.3,50.3,71.3,51.1,0,0
Belarus,0.041850844,234219,30.3,50.3,27.3,53.5,0,0
Israel,0.029352358,164271,30.3,50.3,35.1,31.5,-28,0
Germany,0.027741714,155257,30.3,50.3,13.3,52.3,0,15
Uzbekistan,0.023412236,131027,30.3,50.3,69.2,41.2,0,0
Moldova,0.019835012,111007,30.3,50.3,28.5,47,0,0
