destination,vol,people,long,lat,longdest,latdest,longoff,latoff
India,1,15885657,77.2,28.6,77.2,28.6,0,0
United Arab Emirates,0.200435084,3184043,77.2,28.6,54.3,24.4,-30,8
USA,0.150427458,2389639,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.126104699,2003256,77.2,28.6,46.6,24.7,-40,0
Pakistan ,0.107594983,1709217,77.2,28.6,73.1,33.4,0,0
Oman,0.067743563,1076151,77.2,28.6,58.36,23.37,0,0
Kuwait ,0.066837525,1061758,77.2,28.6,48,29.3,0,0
United Kingdom ,0.050850273,807790,77.2,28.6,-0.1,51.4,-40,0
Canada ,0.041827984,664465,77.2,28.6,-75.6,45.4,0,10
Qatar ,0.040638986,645577,77.2,28.6,51.35,25.15,0,0
Australia,0.028267008,449040,77.2,28.6,149.1,-35.3,0,0
Nepal ,0.028082754,446113,77.2,28.6,85.2,27.45,0,0
Bahrain ,0.017738454,281787,77.2,28.6,50.3,26.1,0,-20
Singapore,0.008980365,142659,77.2,28.6,103.8,1.3,0,0
Malaysia,0.00879737,139752,77.2,28.6,101.4,3.1,0,0
Italy,0.008724285,138591,77.2,28.6,12.3,41.5,0,0
Mexico ,1,11923234,-99.1,19.24,-99.1,19.24,0,0
USA ,0.976521806,11643298,-99.1,19.24,-77,38.9,0,0
China ,1,10240817,116.4,39.9,116.4,39.9,0,0
USA ,0.261375338,2676697,116.4,39.9,-77,38.9,0,0
South Korea,0.074135101,759204,116.4,39.9,126.9,37.5,0,0
Japan,0.069776659,714570,116.4,39.9,139.7,35.7,0,0
Canada,0.063010402,645278,116.4,39.9,-75.6,45.4,0,10
Australia,0.049690371,508870,116.4,39.9,149.1,-35.3,0,0
Singapore,0.040976613,419634,116.4,39.9,103.8,1.3,0,0
Italy ,0.019492292,199617,116.4,39.9,12.3,41.5,0,0
United Kingdom ,0.019473837,199428,116.4,39.9,-0.1,51.4,-40,0
Bangladesh ,0.015894435,162772,116.4,39.9,90.26,23.43,0,0
Spain ,0.015205135,155713,116.4,39.9,-3.5,40.25,0,0
France,0.011183776,114531,116.4,39.9,2.2,48.5,0,0
India,0.0107509,110098,116.4,39.9,77.2,28.6,0,0
Russia ,1,10179999,37.6,55.7,37.6,55.7,0,0
Ukraine ,0.321783725,3275758,37.6,55.7,30.5,50.4,0,0
Kazakhstan,0.231100023,2352598,37.6,55.7,71.4,51.1,0,0
Uzbekistan ,0.086217101,877690,37.6,55.7,69.2,41.2,0,0
Germany ,0.086080755,876302,37.6,55.7,13.3,52.3,0,0
Belarus,0.067029673,682362,37.6,55.7,27.5,53.9,0,0
USA,0.037969454,386529,37.6,55.7,-77,38.9,0,0
Tajikistan,0.023001378,234154,37.6,55.7,68.48,38.33,0,0
Latvia ,0.013396465,136376,37.6,55.7,24.08,56.53,0,0
Estonia,0.012690276,129187,37.6,55.7,24.48,59.22,0,0
Israel ,0.011260315,114630,37.6,55.7,35.12,31.47,-28,0
Kyrgyzstan,0.010977702,111753,37.6,55.7,74.46,42.54,0,0
Bangladesh,1,6831282,90.26,23.43,90.26,23.43,0,0
India,0.3894777,2660632,90.26,23.43,77.2,28.6,0,0
Saudi Arabia ,0.149724752,1022812,90.26,23.43,46.6,24.7,-40,0
United Arab Emirates,0.147060391,1004611,90.26,23.43,54.3,24.4,-30,8
Malaysia,0.057426263,392295,90.26,23.43,101.4,3.1,0,0
Kuwait,0.051268415,350229,90.26,23.43,48,29.3,0,0
Oman ,0.036240343,247568,90.26,23.43,58.36,23.37,0,0
USA,0.032587734,222616,90.26,23.43,-77,38.9,0,0
United Kingdom ,0.031567867,215649,90.26,23.43,-0.1,51.4,-40,0
Qatar,0.023448454,160183,90.26,23.43,51.35,25.15,0,0
Italy ,0.015382764,105084,90.26,23.43,12.3,41.5,0,0
