destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Mexico,10611064,5782166,4828898,-77,38.9,-99.1,19.24,0,0
Ukraine,Russia,3422713,1402646,2020067,30.5,50.4,37.6,55.7,0,0
India,Bangladesh,3298833,1659058,1639775,77.2,28.6,90.26,23.43,0,0
Russia,Ukraine,3293929,1557903,1736026,37.6,55.7,30.5,50.4,0,0
Russia,Kazakhstan,2568446,1204356,1364090,37.6,55.7,71.4,51.1,0,0
Iran,Afghanistan,2376348,1305236,1071112,51.3,35.4,69.1,34.3,0,0
Kazakhstan,Russia,2122379,988127,1134252,71.4,51.1,37.6,55.7,0,0
Pakistan,India,1998814,1081490,917324,73.1,33.4,77.2,28.6,0,0
Jordan,State of Palestine,1827877,878552,949325,35.52,31.57,35.2,32.03,0,0
USA,Puerto Rico,1618157,700147,918010,-77,38.9,-66.1,18.3,0,0
USA,China,1607654,797231,810423,-77,38.9,116.4,39.9,0,0
USA,Philippines,1596459,628805,967654,-77,38.9,121,14.4,0,0
USA,India,1390605,746307,644298,-77,38.9,77.2,28.6,0,0
France,Algeria,1337210,676380,660830,2.2,48.5,3.1,36.4,0,0
Germany,Turkey,1315719,709961,605758,13.3,52.3,32.54,39.57,0,0
United Arab Emirates,India,1286993,978024,308969,54.3,24.4,77.2,28.6,0,0
Saudi Arabia,India,1216549,846607,369942,46.6,24.7,77.2,28.6,0,0
C?te d'Ivoire,Burkina Faso,1215490,680127,535363,-5.2,6.5,-1.55,12.2,0,0
Thailand,Myanmar,1182070,631207,550863,100.3,13.45,96.2,16.45,0,0
Pakistan,Afghanistan,1166210,623606,542604,73.1,33.4,69.1,34.3,0,0
Germany,Poland,1157821,528338,629483,13.3,52.3,21,52.1,0,0
India,Pakistan,1128173,562185,565988,77.2,28.6,73.1,33.4,0,0
Australia,United Kingdom,1116699,565102,551597,149.1,-35.3,-0.1,51.4,0,0
USA,Viet Nam,1106433,576108,530325,-77,38.9,105.6,21.1,0,0
Russia,Uzbekistan,1030041,532421,497620,37.6,55.7,69.2,41.2,0,0
USA,El Salvador,997858,514399,483459,-77,38.9,-89.1,13.4,0,0
USA,South Korea,990111,490995,499116,-77,38.9,126.6,37.3,0,0
Uzbekistan,Russia,980674,429565,551109,69.2,41.2,37.6,55.7,0,0
USA,Cuba,959480,463625,495855,-77,38.9,-82.2,23.1,0,0
Germany,Russia,889324,384844,504480,13.3,52.3,37.6,55.7,0,0
Malaysia,Indonesia,863998,519990,344008,101.41,3.09,106.5,-6.1,0,0
Russia,Belarus,849214,376057,473157,37.6,55.7,27.5,53.9,0,0
USA,Canada,842344,285549,556795,-77,38.9,-75.6,45.4,0,0
France,Morocco,832641,431782,400859,2.2,48.5,-6.5,34,0,0
Saudi Arabia,Indonesia,825998,567849,258149,46.6,24.7,106.5,-6.1,0,0
Singapore,Malaysia,818337,346501,471836,103.8,1.3,101.41,3.09,0,0
Russia,Azerbaijan,805658,457244,348414,37.6,55.7,49.52,40.24,0,0
India,Nepal,764918,326255,438663,77.2,28.6,85.2,27.45,0,0
USA,Dominican Republic,761989,335606,426383,-77,38.9,-61.24,15.2,0,0
Saudi Arabia,Pakistan,724160,511418,212742,46.6,24.7,73.1,33.4,0,0
Belarus,Russia,698192,312157,386035,27.5,53.9,37.6,55.7,0,0
USA,United Kingdom,696965,345623,351342,-77,38.9,-0.1,51.4,0,0
USA,Germany,682498,338451,344047,-77,38.9,13.3,52.3,0,0
Venezuela,Colombia,672292,318105,354187,-66.6,6.4,-74.3,4.6,0,0
Germany,Kazakhstan,671031,315482,355549,13.3,52.3,71.4,51.1,0,0
Japan,China,648120,296819,351301,139.7,35.7,116.4,39.9,0,0
USA,Guatemala,643349,329093,314256,-77,38.9,-90.22,14.4,0,0
Saudi Arabia,Bangladesh,623564,470864,152700,46.6,24.7,90.26,23.43,0,0
USA,Jamaica,611604,271699,339905,-77,38.9,-76.5,18,0,0
France,Portugal,586242,298974,287268,2.2,48.5,-9.1,38.4,0,0
USA,Colombia,580965,262932,318033,-77,38.9,-74.3,4.6,0,0
Italy,Romania,570087,240599,329488,12.3,41.5,26.1,44.3,0,0
Canada,United Kingdom,559313,269496,289817,-75.6,45.4,-0.1,51.4,0,0
United Kingdom,India,548130,271359,276771,-0.1,51.4,77.2,28.6,0,0
Thailand,Lao People's Democratic Republic,540225,238083,302142,100.3,13.45,102.36,17.58,0,0
Russia,Georgia,539318,292371,246947,37.6,55.7,44.5,41.43,0,0
Japan,South Korea,532475,255852,276623,139.7,35.7,126.6,37.3,0,0
Russia,Kyrgyzstan,526124,256976,269148,37.6,55.7,74.46,42.54,0,0
Spain,Morocco,521940,338967,182973,-3.45,40.25,-6.5,34,0,0
Mexico,USA,520171,262612,257559,-99.1,19.24,-77,38.9,0,0
Nepal,India,514650,152152,362498,85.2,27.45,77.2,28.6,0,0
Canada,China,508994,237598,271396,-75.6,45.4,116.4,39.9,0,0
Russia,Armenia,503316,287600,215716,37.6,55.7,44.3,40.1,0,0
