destination,vol,people,long,lat,longdest,latdest,longoff,latoff
Russia,1,11587959,37.6,55.7,37.6,55.7,0,0
Ukraine,0.375854972,4355392,37.6,55.7,30.3,50.3,0,0
Kazakhstan,0.194468845,2253497,37.6,55.7,71.4,51.1,0,0
Uzbekistan,0.10027331,1161963,37.6,55.7,69.2,41.2,0,0
Germany,0.042332563,490548,37.6,55.7,13.3,52.3,0,15
Belarus,0.064702248,749767,37.6,55.7,27.5,53.9,0,0
USA,0.023210904,268967,37.6,55.7,-77,38.9,0,0
Tajikistan,0.02540991,294449,37.6,55.7,68.48,38.33,0,0
Latvia,0.030548952,354000,37.6,55.7,24.08,56.53,0,0
Kyrgyzstan,0.024566708,284678,37.6,55.7,74.46,42.54,0,0
Estonia,0.020384435,236214,37.6,55.7,24.48,59.22,0,0
Israel,0.015008251,173915,37.6,55.7,35.12,31.47,-28,0
Moldova,0.013138897,152253,37.6,55.7,28.5,47,0,0
Lithuania,0.01049555,121622,37.6,55.7,25.2,54.4,0,0
India,1,7153439,77.2,28.6,77.2,28.6,0,0
Pakistan,0.330733791,2365884,77.2,28.6,73.1,33.4,0,0
USA,0.104332615,746337,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.12996672,929709,77.2,28.6,46.4,24.4,-40,0
United Arab Emirates,0.093361109,667853,77.2,28.6,54.2,24.3,-30,8
Nepal,0.072074145,515578,77.2,28.6,85.2,27.5,0,0
United Kingdom,0.059032306,422284,77.2,28.6,-0.1,51.4,-40,0
Kuwait,0.046463946,332377,77.2,28.6,48,39.3,0,0
Oman,0.039559574,282987,77.2,28.6,58.4,23.4,0,0
Canada,0.033555189,240035,77.2,28.6,-75.4,45.3,0,10
Mexico,1,6949276,-99.1,19.24,-99.1,19.24,0,0
USA,0.982540483,6827945,-99.1,19.24,-77,38.9,0,0
Ukraine,1,5606133,30.3,50.3,30.3,50.3,0,0
Russia,0.621653821,3485074,30.3,50.3,37.6,55.7,0,0
Poland,0.066938655,375267,30.3,50.3,21,52.1,0,0
Kazakhstan,0.053899542,302168,30.3,50.3,71.4,51.1,0,0
Belarus,0.044242975,248032,30.3,50.3,27.3,53.5,0,0
USA,0.038806607,217555,30.3,50.3,-77,38.9,0,0
Israel,0.030495709,170963,30.3,50.3,35.1,31.5,-28,0
Moldova,0.029338227,164474,30.3,50.3,28.5,47,0,0
Uzbekistan,0.027355755,153360,30.3,50.3,69.2,41.2,0,0
Bangladesh,1,5423528,90.3,23.4,90.3,23.4,0,0
India,0.76096869,4127135,90.3,23.4,77.2,28.6,0,0
Saudi Arabia,0.090586238,491297,90.3,23.4,46.4,24.4,-40,0
United Arab Emirates,0.040547592,219911,90.3,23.4,54.2,24.3,-30,8
United Kingdom,0.023003661,124761,90.3,23.4,-0.1,51.4,-40,0
Kuwait,0.020290114,110044,90.3,23.4,48,39.3,0,0
